City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mandalgovi,MN,2022-07-28 22:31:23,45.7625,106.2708,57.43,65,59,10.76
1,Ouegoa,NC,2022-07-28 22:31:24,-20.35,164.4333,74.05,70,22,10.04
2,Kamaishi,JP,2022-07-28 22:31:24,39.2667,141.8833,77.11,83,25,3.27
3,Lompoc,US,2022-07-28 22:31:19,34.6391,-120.4579,87.01,73,0,14.97
4,Afsin,TR,2022-07-28 22:31:24,38.2477,36.914,66.87,25,0,2.42
5,Cape Town,ZA,2022-07-28 22:30:35,-33.9258,18.4232,58.87,81,75,18.41
6,Bathsheba,BB,2022-07-28 22:29:29,13.2167,-59.5167,83.01,84,20,17.27
7,Praia,CV,2022-07-28 22:31:25,14.9215,-23.5087,82.94,65,20,3.44
8,Yulara,AU,2022-07-28 22:31:25,-25.2406,130.9889,48.33,37,77,7.83
